timestamp,elapsed_ms,device,link_index,address,distance_cm,snr_db,raw
"2026-07-30T17:49:11.560Z","24443","2","1","0200","115","4","P1,0200,115cm,4dB"
"2026-07-30T17:49:11.661Z","24544","1","0","0100","105","-6","P0,0100,105cm,-6dB"
"2026-07-30T17:49:11.661Z","24544","2","1","0200","113","0","P1,0200,113cm,0dB"
"2026-07-30T17:49:11.761Z","24644","1","0","0100","99","-3","P0,0100,99cm,-3dB"
"2026-07-30T17:49:11.761Z","24644","2","1","0200","119","1","P1,0200,119cm,1dB"
"2026-07-30T17:49:11.861Z","24744","1","0","0100","102","0","P0,0100,102cm,0dB"
"2026-07-30T17:49:11.861Z","24744","2","1","0200","120","7","P1,0200,120cm,7dB"
"2026-07-30T17:49:11.961Z","24844","1","0","0100","102","-3","P0,0100,102cm,-3dB"
"2026-07-30T17:49:11.961Z","24844","2","1","0200","122","1","P1,0200,122cm,1dB"
"2026-07-30T17:49:12.061Z","24944","1","0","0100","101","7","P0,0100,101cm,7dB"
"2026-07-30T17:49:12.061Z","24944","2","1","0200","100","-1","P1,0200,100cm,-1dB"
"2026-07-30T17:49:12.161Z","25044","1","0","0100","110","7","P0,0100,110cm,7dB"
"2026-07-30T17:49:12.161Z","25044","2","1","0200","121","5","P1,0200,121cm,5dB"
"2026-07-30T17:49:12.261Z","25144","1","0","0100","114","8","P0,0100,114cm,8dB"
"2026-07-30T17:49:12.261Z","25144","2","1","0200","133","0","P1,0200,133cm,0dB"
"2026-07-30T17:49:12.361Z","25244","1","0","0100","90","10","P0,0100,90cm,10dB"
"2026-07-30T17:49:12.361Z","25244","2","1","0200","129","0","P1,0200,129cm,0dB"
"2026-07-30T17:49:12.461Z","25344","1","0","0100","84","8","P0,0100,84cm,8dB"
"2026-07-30T17:49:12.461Z","25344","2","1","0200","145","-2","P1,0200,145cm,-2dB"
"2026-07-30T17:49:12.561Z","25444","1","0","0100","118","10","P0,0100,118cm,10dB"
"2026-07-30T17:49:12.561Z","25444","2","1","0200","142","6","P1,0200,142cm,6dB"
"2026-07-30T17:49:12.661Z","25544","1","0","0100","98","12","P0,0100,98cm,12dB"
"2026-07-30T17:49:12.661Z","25544","2","1","0200","123","-3","P1,0200,123cm,-3dB"
"2026-07-30T17:49:12.761Z","25644","1","0","0100","99","14","P0,0100,99cm,14dB"
"2026-07-30T17:49:12.761Z","25644","2","1","0200","122","4","P1,0200,122cm,4dB"
"2026-07-30T17:49:12.859Z","25742","1","0","0100","102","17","P0,0100,102cm,17dB"
